Title,Rarity,Edge,Mintage,Engraver,Times Issued,Composition,Currency,Demonetized,Diameter,Orientation,Shape,Type,Issuer,Technique,Thickness,Weight,Year,Historical Figure,Century
Denarius Pomponia: Quintus Pomponius Musa; Q•POMPONI MVSA; Thalia,100,Smooth,-1.0,0,0,Silver,Denarius of 16 Asses (141 – 27 BC),1,19.0,unknown,1,Standard circulation coin,Roman Republic (ancient),Hammered,1.8,3.74,-66,0,-1
"Dollar - Timmins, Ontario",94,Reeded,5000.0,0,1,Brass,Canada - Local Dollar Tokens,1,33.0,Medal alignment ↑↑,0,Token/Medal,Canada,Milled,2.0,14.0,1980,0,19
12 Euro - Juan Carlos I Christopher Columbus,25,Plain,1399600.0,0,1,Silver,Euro (2002-date),0,33.0,Medal alignment ↑↑,0,Non-circulating coin,Spain,Milled,1.8,18.0,2006,1,20
500 Lire Birds,22,Letter,291000.0,0,1,Silver,Lira (1864-2001),1,29.0,Coin alignment ↑↓,0,Non-circulating coin,San Marino,Milled,1.8,11.0,1975,0,19
"2 Dollar Trade Token - Sudbury, Ontario",85,Reeded,25000.0,0,1,Brass,Canada - Local Dollar Tokens,1,39.0,Medal alignment ↑↑,0,Token/Medal,Canada,Milled,2.35,19.8,1980,0,19
Denarius Pomponia: Quintus Pomponius Musa; Q•POMPONI MVSA; Hercules,97,Smooth,-1.0,0,0,Silver,Denarius of 16 Asses (141 – 27 BC),1,18.0,unknown,1,Standard circulation coin,Roman Republic (ancient),Hammered,1.8,3.83,-66,0,-1
5 Centavos,37,Reeded,520000.0,0,3,Bimetallic,"Peso (decimalized, 1863-1896)",1,15.0,unknown,0,Standard circulation coin,Costa Rica,Milled,1.8,1.25,1889.0,0,unknown
Denarius Cornelia: Publius Cornelius Lentulus Marcellinus; MARCELLINVS / MARCELLVS COS•QVINQ,100,Smooth,-1.0,0,0,Silver,Denarius of 16 Asses (141 – 27 BC),1,18.0,unknown,1,Standard circulation coin,Roman Republic (ancient),Hammered,1.8,3.86,-50,0,-1
5 Dīnār - Rezā Pahlavī,23,Milled,5665000.0,0,2,Bronze,Second Rial (1932-date),1,16.0,Coin alignment ↑↓,0,Standard circulation coin,Iran,Milled,1.8,1.6,1315.0,1,unknown
50 Pence - Elizabeth II TT,51,Plain,-1.0,1,0,Bimetallic,"Pound (decimalized, 1971-date)",0,27.3,Medal alignment ↑↑,1,Circulating commemorative coin,Isle of Man,Milled,1.9,8.0,2014,1,20
Denarius Fabia: Quintus Fabius Maximus; ROMA Q•MAX,97,Special,-1.0,0,0,Silver,Denarius of 16 Asses (141 – 27 BC),1,18.0,Coin alignment ↑↓,1,Standard circulation coin,Roman Republic (ancient),Hammered,1.8,3.73,82.0,0,unknown
"Wooden Nickel - Caveman Coin Club 9th Annual Coin-O-Rama, Oregon",95,Special,-1.0,0,0,Other,United States - Wooden Nickel Tokens,-1,38.0,Medal alignment ↑↑,0,Token/Medal,United States,Other,3.0,2.5,1974,0,19
10 Pfennig - Berleburg,73,Smooth,-1.0,0,0,Iron,"Mark (notgeld, 1914-1924)",1,20.0,Medal alignment ↑↑,0,Standard circulation coin,City of Berleburg,Milled,1.8,2.37,1917,1,19
1 Dollar Guitar coins - Klein guitar,84,Smooth,-1.0,0,0,Bimetallic,1 Dollar Guitar coins - Klein guitar,-1,46.0,Medal alignment ↑↑,1,Other,Somalia,Milled,2.0,3.9,2004,0,20
Bronze with female profile and fibula,97,Special,-1.0,0,0,Bronze,Bronze with female profile and fibula,1,14.2,unknown,1,Standard circulation coin,Bellovaci,Other,1.8,1.54,80.0,0,unknown
8 Skilling - Frederik VI,80,Special,1350000.0,0,1,Bimetallic,Rigsdaler specie (1746-1814),1,21.0,unknown,0,Standard circulation coin,Norway,Other,1.8,2.73,1809,1,18
